,fn,ln,dob,gn,Target
0,WILLIAM,SMITH JR,01/03/68,F,32
1,WILLIAM,ROTHMEYER JR,01/03/68,F,4
2,WILLIAM,ASBY JR,01/03/68,F,31
3,WILLIAM,SALTER JR,01/03/68,F,96
4,WILLIAM,SALTER JR,01/03/68,F,96
5,WILLIAM,BLAND JR,21/02/62,F,98
6,WILLIAM,BLAND JR,21/02/62,F,98
7,WILLIAM,BLAND JR,21/02/62,F,98
8,WILLIAM,SHAFFER JR,21/02/62,F,12
9,WILLIAM,SHAFFER JR,21/02/62,F,12
10,WILLIAM,BLAND III,21/02/62,F,29
11,BILL,BLAND JR,21/02/62,F,62
12,WILLIAM,BLAND,21/02/62,F,67
13,WILLIAM,BLAND JR,21/02/62,F,98
14,WILLIAM,BLAND JR,08/06/54,F,24
15,WILLIAM,BLAND JR,08/06/54,F,24
16,WILLIAM,BLAND JR,25/10/53,F,44
17,WILLIAM,BLAND JR,25/10/53,F,44
18,WILLIAM,SHAFFER JR,25/10/53,F,35
19,THOMAS,DUNCAN JR,25/10/53,F,59
20,ROY,CARLSON JR,25/10/53,F,21
21,RON,CARLSON JR,25/10/53,F,21
22,ROY,DUNCAN JR,25/10/53,F,59
23,ROY,MICHAELSON,25/10/53,M,13
24,ROY,MICHAELSON JR,25/10/53,M,0
25,ROY,MICHAELSON,25/10/53,M,13
26,ROY,MICHAELSON JR,25/10/53,M,0
27,ROY,MICHAELSON JR,01/05/51,M,15
28,ROY,MICHAELSON JR,17/06/48,M,25
29,ROY,MICHAELSON JR,17/06/48,M,25
30,ROY,MICHAELSON JR,09/04/47,M,7
31,ROBERT,MICHAELSON JR,09/04/47,M,7
32,BOB,MICHAELSON JR,09/04/47,M,7
33,OWEN,MUSTAPHA JR,11/03/47,M,9
34,OWAN,MUSTAPHA JR,11/03/47,M,9
35,LAWRENCE,HOUGHTON JR,31/01/46,M,14
36,LAWRENCE,HOUGHTON JR,31/01/46,M,14
37,LAWRENCE,HOUGHTON JR,31/01/46,M,14
38,LAWRENCE,LIND JR,31/01/46,M,39
39,LAWRENCE,LIND JR,31/01/46,M,39
40,KENNETH,LIND JR,31/01/46,M,8
41,KENNETH,LIND JR,31/01/46,M,8
42,JOHN,LIND JR,20/01/46,M,23
43,JOHN,CAIN JR,20/01/46,M,23
44,JOHN,CLARK,09/06/45,M,28
45,RONALD,CLARK,09/02/45,M,30
46,DONALD,CLARK,09/02/45,M,30
47,JOHN,CLARK,16/12/44,M,57
48,JOHN,CLARK JR,16/12/44,M,1
49,JOHN,CLARK JR,16/12/44,M,1
50,JOHN,MICHAELSON JR,16/12/44,M,10
51,JOHN,MICHAELSON JR,16/12/44,M,10
52,JOHN,MICHAELSON JR,16/12/44,M,10
53,JOHN,MICHAELSON JR,24/04/40,M,20
54,JOHN,MICHAELSON JR,24/04/40,M,20
55,JOHN,MICHAELSON JR,24/06/39,M,74
56,JOHN,MICHAELSON JR,24/06/39,M,74
57,JOHN,MICHAELSON JR,24/06/39,M,74
58,JAMES,MICHAELSON JR,24/06/39,M,74
59,JAMES,MICHAELSON JR,24/06/39,M,74
60,JACK,MICHAELSON JR,24/06/39,M,74
61,JACK,MICHAELSON JR,09/06/39,M,34
62,HAROLD,LARSON JR,09/06/39,M,17
63,HAROLD,LARSON JR,09/06/39,M,17
64,HAROLD,MUSTAPHA JR,07/10/37,M,16
65,HAROLD,HOUGHTON JR,07/10/37,M,27
66,HAROLD,MELVIN JR,07/10/37,M,5
67,HAROLD,MELVIN JR,07/10/37,M,5
68,HAROLD,MELVIN JR,07/10/37,M,5
69,HAROLD,MELVIN JR,07/10/37,M,5
70,HAROLD,MELVIN JR,07/10/37,M,5
71,HAROLD,MELVIN JR,07/10/37,M,5
72,HAROLD,MELVIN JR,07/10/37,M,5
73,HAROLD,MELVIN JR,07/10/37,M,5
74,HAROLD,MELVIN JR,07/10/37,M,5
75,HAROLD,CHAVAS JR,07/10/37,M,52
76,HAROLD,CHAVAS JR,07/10/37,M,52
77,HAROLD,CHAVAS JR,07/10/37,M,52
78,HAROLD,CHAVAS JR,07/10/37,M,52
79,HAROLD,MICHAELSON JR,07/10/37,M,19
80,HAROLD,MICHAELSON JR,07/10/37,M,19
81,HAROLD,SMITH JR,07/10/37,M,37
82,HAROLD,CHAVAS JR,07/10/37,M,52
83,HAROLD,CHAVAS JR,07/10/37,M,52
84,HAROLD,FAGEN JR,07/10/37,M,37
85,HAROLD,FAGEN JR,07/10/37,M,37
86,GEORGE,FAGEN JR,07/10/37,M,37
87,DARH,GRIFFIN JR,07/10/37,M,33
88,DARL,GRIFFIN JR,10/07/37,M,26
89,DARL,GRIFFIN JR,07/05/37,M,46
90,CLIFFORD,GRIFFIN JR,07/05/37,M,63
91,CLIFFORD,GRIFFIN JR,07/05/37,M,63
92,CLIFFORD,GRIFFIN JR,07/05/37,M,63
93,CLARENCE,GRIFFIN JR,07/05/37,M,63
94,ADDISON J,HANNA,24/11/34,M,51
95,ADDISON JOHN,HANNA,24/11/34,M,3
96,ADDISON,HANNA,24/11/34,M,6
97,ADDISON,HANNA,24/11/34,M,6
98,ADDISON,HANNA,24/11/34,M,6
99,ADDISON,GALETICH JR,15/10/32,M,18
100,HARRIET,FUNARO JONES,06/12/37,F,2
101,HARRIET,FUNARO J,06/12/37,F,22
102,HARRIET,FUNARO,06/12/37,F,65
